strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url
MH507708	wnv	MH507708	2007-06-24	North America	USA	CA	CA/Fresno			genome					
MH507709	wnv	MH507709	2008-08-11	North America	USA	CA	CA/San-Bernardino			genome					
MH507710	wnv	MH507710	2008-08-12	North America	USA	CA	CA/Calaveras			genome					
MH507711	wnv	MH507711	2008-08-15	North America	USA	CA	CA/Los-Angeles			genome					
MH507712	wnv	MH507712	2008-08-18	North America	USA	CA	CA/Contra-Costa			genome					
MH507713	wnv	MH507713	2008-08-21	North America	USA	CA	CA/Stanislaus			genome					
MH507714	wnv	MH507714	2008-08-25	North America	USA	CA	CA/Los-Angeles			genome					
MH507715	wnv	MH507715	2009-06-18	North America	USA	CA	CA/Kern			genome					
MH507716	wnv	MH507716	2009-06-23	North America	USA	CA	CA/Kings			genome					
MH507717	wnv	MH507717	2009-09-04	North America	USA	CA	CA/Stanislaus			genome					
MH507718	wnv	MH507718	2010-07-21	North America	USA	CA	CA/Stanislaus			genome					
MH507719	wnv	MH507719	2010-07-29	North America	USA	CA	CA/Placer			genome					
MH507720	wnv	MH507720	2010-07-30	North America	USA	CA	CA/Stanislaus			genome					
MH507721	wnv	MH507721	2010-08-02	North America	USA	CA	CA/Fresno			genome					
MH507722	wnv	MH507722	2011-07-11	North America	USA	CA	CA/San-Joaquin			genome					
MH507723	wnv	MH507723	2011-08-22	North America	USA	CA	CA/San-Bernardino			genome					
MH507724	wnv	MH507724	2011-09-21	North America	USA	CA	CA/Placer			genome					
MH507725	wnv	MH507725	2012-06-06	North America	USA	CA	CA/Los-Angeles			genome					
MH507726	wnv	MH507726	2012-06-12	North America	USA	CA	CA/Stanislaus			genome					
MH507727	wnv	MH507727	2012-06-14	North America	USA	CA	CA/Riverside			genome					
MH507728	wnv	MH507728	2012-06-21	North America	USA	CA	CA/Tulare			genome					
MH507729	wnv	MH507729	2012-07-17	North America	USA	CA	CA/Los-Angeles			genome					
MH507730	wnv	MH507730	2012-07-17	North America	USA	CA	CA/Merced			genome					
MH507731	wnv	MH507731	2012-07-22	North America	USA	CA	CA/Tulare			genome					
MH507732	wnv	MH507732	2012-07-20	North America	USA	CA	CA/Los-Angeles			genome					
MH507733	wnv	MH507733	2012-08-08	North America	USA	CA	CA/Merced			genome					
MH507734	wnv	MH507734	2013-08-02	North America	USA	CA	CA/San-Diego			genome					
MH507735	wnv	MH507735	2013-08-08	North America	USA	CA	CA/Shasta			genome					
MH507736	wnv	MH507736	2013-08-07	North America	USA	CA	CA/Butte			genome					
MH507737	wnv	MH507737	2013-08-08	North America	USA	CA	CA/Los-Angeles			genome					
MH507738	wnv	MH507738	2013-07-31	North America	USA	CA	CA/Los-Angeles			genome					
MH507739	wnv	MH507739	2013-08-12	North America	USA	CA	CA/Shasta			genome					
MH507740	wnv	MH507740	2013-08-20	North America	USA	CA	CA/Butte			genome					
MH507741	wnv	MH507741	2013-08-25	North America	USA	CA	CA/Merced			genome					
MH507742	wnv	MH507742	2013-08-26	North America	USA	CA	CA/Shasta			genome					
MH507743	wnv	MH507743	2017-06-17	North America	USA	CA	CA/Riverside			genome					
MH507744	wnv	MH507744	2017-06-23	North America	USA	CA	CA/Los-Angeles			genome					
MH507745	wnv	MH507745	2017-06-23	North America	USA	CA	CA/Los-Angeles			genome					
MH507746	wnv	MH507746	2017-06-30	North America	USA	CA	CA/San-Bernardino			genome					
MH507747	wnv	MH507747	2017-07-03	North America	USA	CA	CA/Riverside			genome					
MH507748	wnv	MH507748	2017-07-11	North America	USA	CA	CA/Riverside			genome					
MH507749	wnv	MH507749	2017-07-13	North America	USA	CA	CA/Ventura			genome					
MH507750	wnv	MH507750	2017-07-26	North America	USA	CA	CA/Contra-Costa			genome					
MH507751	wnv	MH507751	2017-08-03	North America	USA	CA	CA/Contra-Costa			genome					
MH507752	wnv	MH507752	2017-08-30	North America	USA	CA	CA/Butte			genome					
MH507753	wnv	MH507753	2017-08-28	North America	USA	CA	CA/Ventura			genome					
MH507754	wnv	MH507754	2017-08-31	North America	USA	CA	CA/Butte			genome					
MH507755	wnv	MH507755	2004-09-02	North America	USA	CA	CA/Los-Angeles			genome					
MH507756	wnv	MH507756	2004-09-02	North America	USA	CA	CA/Los-Angeles			genome					
MH507757	wnv	MH507757	2005-06-13	North America	USA	CA	CA/Los-Angeles			genome					
MH507758	wnv	MH507758	2005-06-21	North America	USA	CA	CA/Los-Angeles			genome					
MH507759	wnv	MH507759	2006-08-07	North America	USA	CA	CA/Los-Angeles			genome					
MH507760	wnv	MH507760	2006-08-05	North America	USA	CA	CA/Los-Angeles			genome					
MH507761	wnv	MH507761	2007-07-20	North America	USA	CA	CA/Fresno			genome					
MH507762	wnv	MH507762	2007-07-20	North America	USA	CA	CA/Kings			genome					
MH507763	wnv	MH507763	2008-09-09	North America	USA	CA	CA/Tulare			genome					
MH507764	wnv	MH507764	2008-09-09	North America	USA	CA	CA/Stanislaus			genome					
MH507765	wnv	MH507765	2009-07-28	North America	USA	CA	CA/Fresno			genome					
MH507766	wnv	MH507766	2009-07-28	North America	USA	CA	CA/Fresno			genome					
MH507767	wnv	MH507767	2011-08-11	North America	USA	CA	CA/Los-Angeles			genome					
MH507768	wnv	MH507768	2010-08-12	North America	USA	CA	CA/Fresno			genome					
MH507769	wnv	MH507769	2010-08-12	North America	USA	CA	CA/Kings			genome					
MH507770	wnv	MH507770	2011-08-11	North America	USA	CA	CA/Los-Angeles			genome					
MH507771	wnv	MH507771	2012-09-18	North America	USA	CA	CA/Tulare			genome					
MH507772	wnv	MH507772	2012-09-04	North America	USA	CA	CA/Los-Angeles			genome					
MH507773	wnv	MH507773	2012-08-27	North America	USA	CA	CA/Yuba			genome					
MH507774	wnv	MH507774	2012-08-28	North America	USA	CA	CA/Tulare			genome					
MH507775	wnv	MH507775	2012-08-23	North America	USA	CA	CA/Riverside			genome					
MH507776	wnv	MH507776	2012-08-07	North America	USA	CA	CA/Los-Angeles			genome					
MH507777	wnv	MH507777	2012-08-29	North America	USA	CA	CA/Los-Angeles			genome					
MH507778	wnv	MH507778	2012-08-10	North America	USA	CA	CA/Fresno			genome					
MH507779	wnv	MH507779	2012-08-14	North America	USA	CA	CA/Fresno			genome					
MH507780	wnv	MH507780	2012-08-14	North America	USA	CA	CA/Fresno			genome					
MH507781	wnv	MH507781	2013-08-21	North America	USA	CA	CA/Lake			genome					
MH507782	wnv	MH507782	2013-08-14	North America	USA	CA	CA/Butte			genome					
MH507783	wnv	MH507783	2013-09-10	North America	USA	CA	CA/Los-Angeles			genome					
MH507784	wnv	MH507784	2013-09-11	North America	USA	CA	CA/Lake			genome					
MH507785	wnv	MH507785	2013-08-28	North America	USA	CA	CA/Kern			genome					
MH507786	wnv	MH507786	2013-08-28	North America	USA	CA	CA/Kern			genome					
MH507787	wnv	MH507787	2013-08-26	North America	USA	CA	CA/Sutter			genome					
MH507788	wnv	MH507788	2013-08-22	North America	USA	CA	CA/Los-Angeles			genome					
MH507789	wnv	MH507789	2013-08-22	North America	USA	CA	CA/Los-Angeles			genome					
MH507790	wnv	MH507790	2013-08-15	North America	USA	CA	CA/San-Bernardino			genome					
MH507791	wnv	MH507791	2014-06-17	North America	USA	CA	CA/Stanislaus			genome					
MH507792	wnv	MH507792	2014-06-20	North America	USA	CA	CA/Fresno			genome					
MH507793	wnv	MH507793	2014-06-23	North America	USA	CA	CA/Yuba			genome					
MH507794	wnv	MH507794	2014-06-24	North America	USA	CA	CA/Madera			genome					
MH507795	wnv	MH507795	2014-07-03	North America	USA	CA	CA/Stanislaus			genome					
MH507796	wnv	MH507796	2014-07-08	North America	USA	CA	CA/San-Bernardino			genome					
MH507797	wnv	MH507797	2014-07-07	North America	USA	CA	CA/Contra-Costa			genome					
MH507798	wnv	MH507798	2014-07-15	North America	USA	CA	CA/Alameda			genome					
MH507799	wnv	MH507799	2014-07-22	North America	USA	CA	CA/Los-Angeles			genome					
MH507800	wnv	MH507800	2014-07-10	North America	USA	CA	CA/Fresno			genome					
MH507801	wnv	MH507801	2015-05-14	North America	USA	CA	CA/Los-Angeles			genome					
MH507802	wnv	MH507802	2015-06-09	North America	USA	CA	CA/Fresno			genome					
MH507803	wnv	MH507803	2015-06-15	North America	USA	CA	CA/Yuba			genome					
MH507804	wnv	MH507804	2015-06-15	North America	USA	CA	CA/Contra-Costa			genome					
MH507805	wnv	MH507805	2015-07-21	North America	USA	CA	CA/Tulare			genome					
MH507806	wnv	MH507806	2015-07-14	North America	USA	CA	CA/Fresno			genome					
MH507807	wnv	MH507807	2015-07-21	North America	USA	CA	CA/Glenn			genome					
MH507808	wnv	MH507808	2015-07-22	North America	USA	CA	CA/Alameda			genome					
MH507809	wnv	MH507809	2015-07-15	North America	USA	CA	CA/Butte			genome					
MH507810	wnv	MH507810	2015-07-21	North America	USA	CA	CA/Lake			genome					
MH507811	wnv	MH507811	2016-07-05	North America	USA	CA	CA/Sutter			genome					
MH507812	wnv	MH507812	2016-07-05	North America	USA	CA	CA/Sutter			genome					
MH507813	wnv	MH507813	2016-06-29	North America	USA	CA	CA/Fresno			genome					
MH507814	wnv	MH507814	2016-07-05	North America	USA	CA	CA/Yuba			genome					
MH507815	wnv	MH507815	2016-07-01	North America	USA	CA	CA/Fresno			genome					
MH507816	wnv	MH507816	2016-07-01	North America	USA	CA	CA/Fresno			genome					
MH507817	wnv	MH507817	2016-07-07	North America	USA	CA	CA/Kings			genome					
MH507818	wnv	MH507818	2017-07-06	North America	USA	CA	CA/Fresno			genome					
MH507819	wnv	MH507819	2017-07-06	North America	USA	CA	CA/Fresno			genome					
MH507820	wnv	MH507820	2017-07-04	North America	USA	CA	CA/Tulare			genome					
MH507821	wnv	MH507821	2017-06-30	North America	USA	CA	CA/Kings			genome					
MH507822	wnv	MH507822	2017-06-29	North America	USA	CA	CA/Los-Angeles			genome					
MH507823	wnv	MH507823	2017-06-28	North America	USA	CA	CA/Los-Angeles			genome					
MH507824	wnv	MH507824	2017-06-29	North America	USA	CA	CA/Kings			genome					
MH507825	wnv	MH507825	2017-08-02	North America	USA	CA	CA/Merced			genome					
MH507826	wnv	MH507826	2017-08-03	North America	USA	CA	CA/Stanislaus			genome					
MH507827	wnv	MH507827	2006-07-13	North America	USA	CA	CA/Kern			genome					
MH507828	wnv	MH507828	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507829	wnv	MH507829	2006-07-31	North America	USA	CA	CA/Kern			genome					
MH507830	wnv	MH507830	2006-08-01	North America	USA	CA	CA/Kern			genome					
MH507831	wnv	MH507831	2006-08-02	North America	USA	CA	CA/Kern			genome					
MH507832	wnv	MH507832	2006-08-03	North America	USA	CA	CA/Kern			genome					
MH507833	wnv	MH507833	2006-08-09	North America	USA	CA	CA/Kern			genome					
MH507834	wnv	MH507834	2006-08-14	North America	USA	CA	CA/Kern			genome					
MH507835	wnv	MH507835	2006-08-15	North America	USA	CA	CA/Kern			genome					
MH507836	wnv	MH507836	2006-08-17	North America	USA	CA	CA/Kern			genome					
MH507837	wnv	MH507837	2006-08-30	North America	USA	CA	CA/Kern			genome					
MH507838	wnv	MH507838	2007-06-07	North America	USA	CA	CA/Kern			genome					
MH507839	wnv	MH507839	2007-06-13	North America	USA	CA	CA/Kern			genome					
MH507840	wnv	MH507840	2007-06-14	North America	USA	CA	CA/Kern			genome					
MH507841	wnv	MH507841	2007-06-20	North America	USA	CA	CA/Kern			genome					
MH507842	wnv	MH507842	2007-06-22	North America	USA	CA	CA/Kern			genome					
MH507843	wnv	MH507843	2007-06-25	North America	USA	CA	CA/Kern			genome					
MH507844	wnv	MH507844	2007-06-25	North America	USA	CA	CA/Kern			genome					
MH507845	wnv	MH507845	2007-06-29	North America	USA	CA	CA/Kern			genome					
MH507846	wnv	MH507846	2007-06-29	North America	USA	CA	CA/Kern			genome					
MH507847	wnv	MH507847	2007-07-05	North America	USA	CA	CA/Kern			genome					
MH507848	wnv	MH507848	2007-07-09	North America	USA	CA	CA/Kern			genome					
MH507849	wnv	MH507849	2007-07-09	North America	USA	CA	CA/Kern			genome					
MH507850	wnv	MH507850	2007-07-09	North America	USA	CA	CA/Kern			genome					
MH507851	wnv	MH507851	2007-07-12	North America	USA	CA	CA/Kern			genome					
MH507852	wnv	MH507852	2007-07-13	North America	USA	CA	CA/Kern			genome					
MH507853	wnv	MH507853	2008-06-27	North America	USA	CA	CA/Kern			genome					
MH507854	wnv	MH507854	2008-03-13	North America	USA	CA	CA/Kern			genome					
MH507855	wnv	MH507855	2008-07-23	North America	USA	CA	CA/Kern			genome					
MH507856	wnv	MH507856	2008-09-24	North America	USA	CA	CA/Kern			genome					
MH507857	wnv	MH507857	2009-06-14	North America	USA	CA	CA/Kern			genome					
MH507858	wnv	MH507858	2009-06-08	North America	USA	CA	CA/Kern			genome					
MH507859	wnv	MH507859	2009-06-16	North America	USA	CA	CA/Kern			genome					
MH507860	wnv	MH507860	2009-06-15	North America	USA	CA	CA/Kern			genome					
MH507861	wnv	MH507861	2009-06-24	North America	USA	CA	CA/Kern			genome					
MH507862	wnv	MH507862	2009-07-07	North America	USA	CA	CA/Kern			genome					
MH507863	wnv	MH507863	2009-07-13	North America	USA	CA	CA/Kern			genome					
MH507864	wnv	MH507864	2009-07-23	North America	USA	CA	CA/Kern			genome					
MH507865	wnv	MH507865	2010-07-06	North America	USA	CA	CA/Kern			genome					
MH507866	wnv	MH507866	2010-07-12	North America	USA	CA	CA/Kern			genome					
MH507867	wnv	MH507867	2010-07-19	North America	USA	CA	CA/Kern			genome					
MH507868	wnv	MH507868	2010-07-22	North America	USA	CA	CA/Kern			genome					
MH507869	wnv	MH507869	2010-07-22	North America	USA	CA	CA/Kern			genome					
MH507870	wnv	MH507870	2010-07-23	North America	USA	CA	CA/Kern			genome					
MH507871	wnv	MH507871	2010-07-26	North America	USA	CA	CA/Kern			genome					
MH507872	wnv	MH507872	2010-07-26	North America	USA	CA	CA/Kern			genome					
MH507873	wnv	MH507873	2010-07-28	North America	USA	CA	CA/Kern			genome					
MH507874	wnv	MH507874	2011-06-17	North America	USA	CA	CA/Kern			genome					
MH507875	wnv	MH507875	2011-06-17	North America	USA	CA	CA/Kern			genome					
MH507876	wnv	MH507876	2011-08-05	North America	USA	CA	CA/Kern			genome					
MH507877	wnv	MH507877	2011-08-08	North America	USA	CA	CA/Kern			genome					
MH507878	wnv	MH507878	2011-08-08	North America	USA	CA	CA/Kern			genome					
MH507879	wnv	MH507879	2011-11-17	North America	USA	CA	CA/Kern			genome					
MH507880	wnv	MH507880	2012-06-08	North America	USA	CA	CA/Kern			genome					
MH507881	wnv	MH507881	2012-06-10	North America	USA	CA	CA/Kern			genome					
MH507882	wnv	MH507882	2012-06-13	North America	USA	CA	CA/Kern			genome					
MH507883	wnv	MH507883	2012-06-18	North America	USA	CA	CA/Kern			genome					
MH507884	wnv	MH507884	2012-06-24	North America	USA	CA	CA/Kern			genome					
MH507885	wnv	MH507885	2012-07-09	North America	USA	CA	CA/Kern			genome					
MH507886	wnv	MH507886	2012-07-10	North America	USA	CA	CA/Kern			genome					
MH507887	wnv	MH507887	2013-06-10	North America	USA	CA	CA/Kern			genome					
MH507888	wnv	MH507888	2013-07-08	North America	USA	CA	CA/Kern			genome					
MH507889	wnv	MH507889	2017-07-04	North America	USA	CA	CA/Kern			genome					
MH507890	wnv	MH507890	2017-07-07	North America	USA	CA	CA/Kern			genome					
MH507891	wnv	MH507891	2004-08-05	North America	USA	CA	CA/Kern			genome					
MH507892	wnv	MH507892	2004-08-05	North America	USA	CA	CA/Kern			genome					
MH507893	wnv	MH507893	2004-08-05	North America	USA	CA	CA/Kern			genome					
MH507894	wnv	MH507894	2004-08-10	North America	USA	CA	CA/Kern			genome					
MH507895	wnv	MH507895	2004-08-11	North America	USA	CA	CA/Kern			genome					
MH507896	wnv	MH507896	2004-08-11	North America	USA	CA	CA/Kern			genome					
MH507897	wnv	MH507897	2004-08-11	North America	USA	CA	CA/Kern			genome					
MH507898	wnv	MH507898	2004-08-12	North America	USA	CA	CA/Kern			genome					
MH507899	wnv	MH507899	2004-08-12	North America	USA	CA	CA/Kern			genome					
MH507900	wnv	MH507900	2004-08-12	North America	USA	CA	CA/Kern			genome					
MH507901	wnv	MH507901	2004-08-13	North America	USA	CA	CA/Kern			genome					
MH507902	wnv	MH507902	2004-08-13	North America	USA	CA	CA/Kern			genome					
MH507903	wnv	MH507903	2004-09-21	North America	USA	CA	CA/Kern			genome					
MH507904	wnv	MH507904	2004-09-23	North America	USA	CA	CA/Kern			genome					
MH507905	wnv	MH507905	2005-06-21	North America	USA	CA	CA/Kern			genome					
MH507906	wnv	MH507906	2005-07-01	North America	USA	CA	CA/Kern			genome					
MH507907	wnv	MH507907	2005-07-01	North America	USA	CA	CA/Kern			genome					
MH507908	wnv	MH507908	2005-07-01	North America	USA	CA	CA/Kern			genome					
MH507909	wnv	MH507909	2005-07-06	North America	USA	CA	CA/Kern			genome					
MH507910	wnv	MH507910	2005-07-06	North America	USA	CA	CA/Kern			genome					
MH507911	wnv	MH507911	2005-07-07	North America	USA	CA	CA/Kern			genome					
MH507912	wnv	MH507912	2005-07-14	North America	USA	CA	CA/Kern			genome					
MH507913	wnv	MH507913	2005-07-14	North America	USA	CA	CA/Kern			genome					
MH507914	wnv	MH507914	2005-07-14	North America	USA	CA	CA/Kern			genome					
MH507915	wnv	MH507915	2005-07-19	North America	USA	CA	CA/Kern			genome					
MH507916	wnv	MH507916	2006-07-11	North America	USA	CA	CA/Kern			genome					
MH507917	wnv	MH507917	2006-07-11	North America	USA	CA	CA/Kern			genome					
MH507918	wnv	MH507918	2006-07-11	North America	USA	CA	CA/Kern			genome					
MH507919	wnv	MH507919	2006-07-11	North America	USA	CA	CA/Kern			genome					
MH507920	wnv	MH507920	2006-07-14	North America	USA	CA	CA/Kern			genome					
MH507921	wnv	MH507921	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507922	wnv	MH507922	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507923	wnv	MH507923	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507924	wnv	MH507924	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507925	wnv	MH507925	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507926	wnv	MH507926	2006-07-21	North America	USA	CA	CA/Kern			genome					
MH507927	wnv	MH507927	2006-08-04	North America	USA	CA	CA/Kern			genome					
MH507928	wnv	MH507928	2006-08-04	North America	USA	CA	CA/Kern			genome					
MH507929	wnv	MH507929	2006-08-04	North America	USA	CA	CA/Kern			genome					
MH507930	wnv	MH507930	2006-08-04	North America	USA	CA	CA/Kern			genome					
MH507931	wnv	MH507931	2007-06-05	North America	USA	CA	CA/Kern			genome					
MH507932	wnv	MH507932	2007-06-06	North America	USA	CA	CA/Kern			genome					
MH507933	wnv	MH507933	2007-06-08	North America	USA	CA	CA/Kern			genome					
MH507934	wnv	MH507934	2007-06-15	North America	USA	CA	CA/Kern			genome					
MH507935	wnv	MH507935	2007-06-22	North America	USA	CA	CA/Kern			genome					
MH507936	wnv	MH507936	2007-08-03	North America	USA	CA	CA/Kern			genome					
MH507937	wnv	MH507937	2007-08-03	North America	USA	CA	CA/Kern			genome					
MH507938	wnv	MH507938	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507939	wnv	MH507939	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507940	wnv	MH507940	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507941	wnv	MH507941	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507942	wnv	MH507942	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507943	wnv	MH507943	2007-08-15	North America	USA	CA	CA/Kern			genome					
MH507944	wnv	MH507944	2007-08-17	North America	USA	CA	CA/Kern			genome					
MH507945	wnv	MH507945	2009-06-17	North America	USA	CA	CA/Kern			genome					
MH507946	wnv	MH507946	2009-06-17	North America	USA	CA	CA/Kern			genome					
MH507947	wnv	MH507947	2009-06-30	North America	USA	CA	CA/Kern			genome					
MH507948	wnv	MH507948	2008-02-06	North America	USA	CA	CA/San-Diego			genome					
MH507949	wnv	MH507949	2008-05-22	North America	USA	CA	CA/San-Diego			genome					
MH507950	wnv	MH507950	2008-09-05	North America	USA	CA	CA/San-Diego			genome					
MH507951	wnv	MH507951	2008-09-26	North America	USA	CA	CA/San-Diego			genome					
MH507952	wnv	MH507952	2009-09-29	North America	USA	CA	CA/San-Diego			genome					
MH507953	wnv	MH507953	2008-12-01	North America	USA	CA	CA/San-Diego			genome					
MH507954	wnv	MH507954	2008-12-08	North America	USA	CA	CA/San-Diego			genome					
MH507955	wnv	MH507955	2008-12-08	North America	USA	CA	CA/San-Diego			genome					
MH507956	wnv	MH507956	2008-12-22	North America	USA	CA	CA/San-Diego			genome					
MH507957	wnv	MH507957	2009-09-15	North America	USA	CA	CA/San-Diego			genome					
MH507958	wnv	MH507958	2009-09-30	North America	USA	CA	CA/San-Diego			genome					
MH507959	wnv	MH507959	2009-10-09	North America	USA	CA	CA/San-Diego			genome					
MH507960	wnv	MH507960	2014-08-13	North America	USA	CA	CA/San-Diego			genome					
MH507961	wnv	MH507961	2014-09-23	North America	USA	CA	CA/San-Diego			genome					
MH507962	wnv	MH507962	2014-11-10	North America	USA	CA	CA/San-Diego			genome					
MH507963	wnv	MH507963	2014-11-13	North America	USA	CA	CA/San-Diego			genome					
MH507964	wnv	MH507964	2014-11-17	North America	USA	CA	CA/San-Diego			genome					
MH507965	wnv	MH507965	2014-12-18	North America	USA	CA	CA/San-Diego			genome					
MH507966	wnv	MH507966	2014-12-18	North America	USA	CA	CA/San-Diego			genome					
MH507967	wnv	MH507967	2015-04-16	North America	USA	CA	CA/San-Diego			genome					
MH507968	wnv	MH507968	2015-04-28	North America	USA	CA	CA/San-Diego			genome					
MH507969	wnv	MH507969	2015-06-05	North America	USA	CA	CA/San-Diego			genome					
MH507970	wnv	MH507970	2015-07-02	North America	USA	CA	CA/San-Diego			genome					
MH507971	wnv	MH507971	2015-07-02	North America	USA	CA	CA/San-Diego			genome					
MH507972	wnv	MH507972	2015-07-21	North America	USA	CA	CA/San-Diego			genome					
MH507973	wnv	MH507973	2015-07-28	North America	USA	CA	CA/San-Diego			genome					
MH507974	wnv	MH507974	2015-08-07	North America	USA	CA	CA/San-Diego			genome					
MH507975	wnv	MH507975	2015-08-21	North America	USA	CA	CA/San-Diego			genome					
MH507976	wnv	MH507976	2015-08-28	North America	USA	CA	CA/San-Diego			genome					
MH507977	wnv	MH507977	2015-09-04	North America	USA	CA	CA/San-Diego			genome					
MH507978	wnv	MH507978	2015-10-06	North America	USA	CA	CA/San-Diego			genome					
MH507979	wnv	MH507979	2015-10-09	North America	USA	CA	CA/San-Diego			genome					
MH507980	wnv	MH507980	2015-10-13	North America	USA	CA	CA/San-Diego			genome					
MH507981	wnv	MH507981	2015-10-20	North America	USA	CA	CA/San-Diego			genome					
MH507982	wnv	MH507982	2015-12-16	North America	USA	CA	CA/San-Diego			genome					
MH507983	wnv	MH507983	2015-12-30	North America	USA	CA	CA/San-Diego			genome					
MH507984	wnv	MH507984	2016-03-02	North America	USA	CA	CA/San-Diego			genome					
MH507985	wnv	MH507985	2016-03-17	North America	USA	CA	CA/San-Diego			genome					
MH507986	wnv	MH507986	2016-04-14	North America	USA	CA	CA/San-Diego			genome					
MH507987	wnv	MH507987	2016-05-02	North America	USA	CA	CA/San-Diego			genome					
MH507988	wnv	MH507988	2009-07-01	North America	USA	CA	CA/Kern			genome					
MH507989	wnv	MH507989	2009-07-14	North America	USA	CA	CA/Kern			genome					
MH507990	wnv	MH507990	2009-07-14	North America	USA	CA	CA/Kern			genome					
MH507991	wnv	MH507991	2009-07-15	North America	USA	CA	CA/Kern			genome					
MH507992	wnv	MH507992	2009-07-15	North America	USA	CA	CA/Kern			genome					
MH507993	wnv	MH507993	2009-07-22	North America	USA	CA	CA/Kern			genome					
MH507994	wnv	MH507994	2009-07-28	North America	USA	CA	CA/Kern			genome					
MH507995	wnv	MH507995	2009-07-29	North America	USA	CA	CA/Kern			genome					
MH507996	wnv	MH507996	2009-07-30	North America	USA	CA	CA/Kern			genome					
MH507997	wnv	MH507997	2009-09-04	North America	USA	CA	CA/Kern			genome					
MH507998	wnv	MH507998	2009-09-04	North America	USA	CA	CA/Kern			genome					
MH507999	wnv	MH507999	2010-06-15	North America	USA	CA	CA/Kern			genome					
MH508000	wnv	MH508000	2010-06-25	North America	USA	CA	CA/Kern			genome					
MH508001	wnv	MH508001	2010-06-29	North America	USA	CA	CA/Kern			genome					
MH508002	wnv	MH508002	2010-07-01	North America	USA	CA	CA/Kern			genome					
MH508003	wnv	MH508003	2010-07-01	North America	USA	CA	CA/Kern			genome					
MH508004	wnv	MH508004	2010-07-08	North America	USA	CA	CA/Kern			genome					
MH508005	wnv	MH508005	2010-07-08	North America	USA	CA	CA/Kern			genome					
MH508006	wnv	MH508006	2010-07-09	North America	USA	CA	CA/Kern			genome					
MH508007	wnv	MH508007	2010-07-09	North America	USA	CA	CA/Kern			genome					
MH508008	wnv	MH508008	2010-07-28	North America	USA	CA	CA/Kern			genome					
MH508009	wnv	MH508009	2010-08-18	North America	USA	CA	CA/Kern			genome					
MH508010	wnv	MH508010	2010-08-25	North America	USA	CA	CA/Kern			genome					
MH508011	wnv	MH508011	2010-09-02	North America	USA	CA	CA/Kern			genome					
MH508012	wnv	MH508012	2010-09-30	North America	USA	CA	CA/Kern			genome					
MH508013	wnv	MH508013	2010-10-05	North America	USA	CA	CA/Kern			genome					
MH508014	wnv	MH508014	2011-06-08	North America	USA	CA	CA/Kern			genome					
MH508015	wnv	MH508015	2011-07-07	North America	USA	CA	CA/Kern			genome					
MH508016	wnv	MH508016	2011-07-08	North America	USA	CA	CA/Kern			genome					
MH508017	wnv	MH508017	2011-07-13	North America	USA	CA	CA/Kern			genome					
MH508018	wnv	MH508018	2011-07-13	North America	USA	CA	CA/Kern			genome					
MH508019	wnv	MH508019	2011-07-13	North America	USA	CA	CA/Kern			genome					
MH508020	wnv	MH508020	2011-07-13	North America	USA	CA	CA/Kern			genome					
MH508021	wnv	MH508021	2011-07-13	North America	USA	CA	CA/Kern			genome					
MH508022	wnv	MH508022	2011-07-15	North America	USA	CA	CA/Kern			genome					
MH508023	wnv	MH508023	2011-07-27	North America	USA	CA	CA/Kern			genome					
MH508024	wnv	MH508024	2011-08-04	North America	USA	CA	CA/Kern			genome					
MH508025	wnv	MH508025	2011-08-04	North America	USA	CA	CA/Kern			genome					
MH508026	wnv	MH508026	2011-08-18	North America	USA	CA	CA/Kern			genome					
MH508027	wnv	MH508027	2012-06-19	North America	USA	CA	CA/Kern			genome					
MH508028	wnv	MH508028	2012-07-02	North America	USA	CA	CA/Kern			genome					
MH508029	wnv	MH508029	2012-07-18	North America	USA	CA	CA/Kern			genome					
MH508030	wnv	MH508030	2012-07-19	North America	USA	CA	CA/Kern			genome					
MH508031	wnv	MH508031	2012-07-19	North America	USA	CA	CA/Kern			genome					
MH508032	wnv	MH508032	2014-07-18	North America	USA	CA	CA/Kern			genome					
MH508033	wnv	MH508033	2015-07-28	North America	USA	CA	CA/Kern			genome					
MH508034	wnv	MH508034	2015-08-28	North America	USA	CA	CA/Kern			genome					
MH508035	wnv	MH508035	2016-07-26	North America	USA	CA	CA/Kern			genome					
MH508036	wnv	MH508036	2016-07-28	North America	USA	CA	CA/Kern			genome					
MH508037	wnv	MH508037	2017-06-28	North America	USA	CA	CA/Kern			genome					
MH508038	wnv	MH508038	2017-06-28	North America	USA	CA	CA/Kern			genome					
MH643887	wnv	MH643887	2018-04-26	North America	USA	BRA/ES	BRA/ES/Sao-Mateus			genome					
