strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url	latitude	longitude	county
MH170227	wnv	MH170227	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170228	wnv	MH170228	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170229	wnv	MH170229	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170230	wnv	MH170230	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170231	wnv	MH170231	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170232	wnv	MH170232	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170233	wnv	MH170233	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170234	wnv	MH170234	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170235	wnv	MH170235	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170236	wnv	MH170236	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170237	wnv	MH170237	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170238	wnv	MH170238	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170239	wnv	MH170239	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170240	wnv	MH170240	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170241	wnv	MH170241	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170242	wnv	MH170242	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170243	wnv	MH170243	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170244	wnv	MH170244	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170245	wnv	MH170245	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170246	wnv	MH170246	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170247	wnv	MH170247	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170248	wnv	MH170248	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170249	wnv	MH170249	2006-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170250	wnv	MH170250	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170251	wnv	MH170251	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170252	wnv	MH170252	2007-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170253	wnv	MH170253	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170254	wnv	MH170254	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170255	wnv	MH170255	2008-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170256	wnv	MH170256	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
MH170257	wnv	MH170257	2005-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170258	wnv	MH170258	2007-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170259	wnv	MH170259	2009-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170260	wnv	MH170260	2009-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170261	wnv	MH170261	2008-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170262	wnv	MH170262	2009-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170263	wnv	MH170263	2001-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170264	wnv	MH170264	2002-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170265	wnv	MH170265	2004-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170266	wnv	MH170266	2007-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170267	wnv	MH170267	2008-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170268	wnv	MH170268	2007-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170269	wnv	MH170269	2005-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170270	wnv	MH170270	2004-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170271	wnv	MH170271	2008-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170272	wnv	MH170272	2007-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170273	wnv	MH170273	2001-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170274	wnv	MH170274	2002-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170275	wnv	MH170275	2002-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH170276	wnv	MH170276	2001-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
MH507608	wnv	MH507608	2007-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507609	wnv	MH507609	2007-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507610	wnv	MH507610	2008-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507611	wnv	MH507611	2009-05-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507612	wnv	MH507612	2012-10-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507613	wnv	MH507613	2013-07-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507614	wnv	MH507614	2013-07-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507615	wnv	MH507615	2014-10-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507616	wnv	MH507616	2015-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507617	wnv	MH507617	2016-08-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507618	wnv	MH507618	2008-12-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507619	wnv	MH507619	2014-10-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507620	wnv	MH507620	2016-06-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507621	wnv	MH507621	2014-10-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507622	wnv	MH507622	2007-03-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507623	wnv	MH507623	2007-03-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507624	wnv	MH507624	2007-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507625	wnv	MH507625	2007-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507626	wnv	MH507626	2008-02-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507627	wnv	MH507627	2008-05-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507628	wnv	MH507628	2008-06-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507629	wnv	MH507629	2008-06-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507630	wnv	MH507630	2008-06-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507631	wnv	MH507631	2008-09-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507632	wnv	MH507632	2008-06-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507633	wnv	MH507633	2008-08-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507634	wnv	MH507634	2008-08-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507635	wnv	MH507635	2008-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507636	wnv	MH507636	2008-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507637	wnv	MH507637	2008-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507638	wnv	MH507638	2008-12-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507639	wnv	MH507639	2008-12-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507640	wnv	MH507640	2008-09-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507641	wnv	MH507641	2008-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507642	wnv	MH507642	2009-01-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507643	wnv	MH507643	2008-12-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507644	wnv	MH507644	2008-12-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507645	wnv	MH507645	2009-04-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507646	wnv	MH507646	2009-05-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507647	wnv	MH507647	2008-12-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507648	wnv	MH507648	2009-06-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507649	wnv	MH507649	2009-09-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507650	wnv	MH507650	2009-09-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507651	wnv	MH507651	2013-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507652	wnv	MH507652	2013-09-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507653	wnv	MH507653	2013-11-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507654	wnv	MH507654	2013-11-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507655	wnv	MH507655	2013-11-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507656	wnv	MH507656	2014-08-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507657	wnv	MH507657	2014-07-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507658	wnv	MH507658	2014-08-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507659	wnv	MH507659	2014-08-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507660	wnv	MH507660	2014-09-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507661	wnv	MH507661	2014-10-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507662	wnv	MH507662	2014-10-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507663	wnv	MH507663	2014-10-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507664	wnv	MH507664	2014-11-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507665	wnv	MH507665	2014-11-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507666	wnv	MH507666	2014-11-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507667	wnv	MH507667	2014-11-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507668	wnv	MH507668	2014-12-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507669	wnv	MH507669	2014-12-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507670	wnv	MH507670	2015-04-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507671	wnv	MH507671	2015-05-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507672	wnv	MH507672	2015-07-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507673	wnv	MH507673	2015-07-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507674	wnv	MH507674	2015-07-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507675	wnv	MH507675	2015-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507676	wnv	MH507676	2015-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507677	wnv	MH507677	2015-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507678	wnv	MH507678	2015-08-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507679	wnv	MH507679	2015-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507680	wnv	MH507680	2015-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507681	wnv	MH507681	2015-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507682	wnv	MH507682	2015-09-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507683	wnv	MH507683	2015-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507684	wnv	MH507684	2016-08-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507685	wnv	MH507685	2016-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507686	wnv	MH507686	2017-10-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507687	wnv	MH507687	2017-10-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507688	wnv	MH507688	2017-10-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507689	wnv	MH507689	2017-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507690	wnv	MH507690	2017-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507691	wnv	MH507691	2017-10-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507692	wnv	MH507692	2015-08-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507693	wnv	MH507693	2015-08-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507694	wnv	MH507694	2015-08-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507695	wnv	MH507695	2015-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507696	wnv	MH507696	2015-10-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507697	wnv	MH507697	2015-11-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507698	wnv	MH507698	2015-11-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507699	wnv	MH507699	2015-11-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507700	wnv	MH507700	2016-01-27	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507701	wnv	MH507701	2016-02-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507702	wnv	MH507702	2016-02-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507703	wnv	MH507703	2006-08-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507704	wnv	MH507704	2006-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507705	wnv	MH507705	2006-09-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507706	wnv	MH507706	2007-06-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507707	wnv	MH507707	2007-06-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507708	wnv	MH507708	2007-06-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507709	wnv	MH507709	2008-08-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507710	wnv	MH507710	2008-08-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507711	wnv	MH507711	2008-08-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507712	wnv	MH507712	2008-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507713	wnv	MH507713	2008-08-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507714	wnv	MH507714	2008-08-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507715	wnv	MH507715	2009-06-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507716	wnv	MH507716	2009-06-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507717	wnv	MH507717	2009-09-04	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507718	wnv	MH507718	2010-07-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507719	wnv	MH507719	2010-07-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507720	wnv	MH507720	2010-07-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507721	wnv	MH507721	2010-08-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507722	wnv	MH507722	2011-07-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507723	wnv	MH507723	2011-08-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507724	wnv	MH507724	2011-09-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507725	wnv	MH507725	2012-06-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507726	wnv	MH507726	2012-06-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507727	wnv	MH507727	2012-06-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507728	wnv	MH507728	2012-06-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507729	wnv	MH507729	2012-07-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507730	wnv	MH507730	2012-07-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507731	wnv	MH507731	2012-07-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507732	wnv	MH507732	2012-07-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507733	wnv	MH507733	2012-08-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507734	wnv	MH507734	2013-08-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507735	wnv	MH507735	2013-08-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507736	wnv	MH507736	2013-08-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507737	wnv	MH507737	2013-08-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507738	wnv	MH507738	2013-07-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507739	wnv	MH507739	2013-08-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507740	wnv	MH507740	2013-08-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507741	wnv	MH507741	2013-08-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507742	wnv	MH507742	2013-08-26	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507743	wnv	MH507743	2017-06-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507744	wnv	MH507744	2017-06-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507745	wnv	MH507745	2017-06-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507746	wnv	MH507746	2017-06-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507747	wnv	MH507747	2017-07-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507748	wnv	MH507748	2017-07-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507749	wnv	MH507749	2017-07-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507750	wnv	MH507750	2017-07-26	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507751	wnv	MH507751	2017-08-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507752	wnv	MH507752	2017-08-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507753	wnv	MH507753	2017-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507754	wnv	MH507754	2017-08-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507755	wnv	MH507755	2004-09-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507756	wnv	MH507756	2004-09-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507757	wnv	MH507757	2005-06-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507758	wnv	MH507758	2005-06-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507759	wnv	MH507759	2006-08-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507760	wnv	MH507760	2006-08-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507761	wnv	MH507761	2007-07-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507762	wnv	MH507762	2007-07-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507763	wnv	MH507763	2008-09-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507764	wnv	MH507764	2008-09-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507765	wnv	MH507765	2009-07-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507766	wnv	MH507766	2009-07-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507767	wnv	MH507767	2011-08-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507768	wnv	MH507768	2010-08-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507769	wnv	MH507769	2010-08-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507770	wnv	MH507770	2011-08-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507771	wnv	MH507771	2012-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507772	wnv	MH507772	2012-09-04	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507773	wnv	MH507773	2012-08-27	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507774	wnv	MH507774	2012-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507775	wnv	MH507775	2012-08-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507776	wnv	MH507776	2012-08-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507777	wnv	MH507777	2012-08-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507778	wnv	MH507778	2012-08-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507779	wnv	MH507779	2012-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507780	wnv	MH507780	2012-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507781	wnv	MH507781	2013-08-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507782	wnv	MH507782	2013-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507783	wnv	MH507783	2013-09-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507784	wnv	MH507784	2013-09-11	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507785	wnv	MH507785	2013-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507786	wnv	MH507786	2013-08-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507787	wnv	MH507787	2013-08-26	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507788	wnv	MH507788	2013-08-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507789	wnv	MH507789	2013-08-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507790	wnv	MH507790	2013-08-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507791	wnv	MH507791	2014-06-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507792	wnv	MH507792	2014-06-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507793	wnv	MH507793	2014-06-23	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507794	wnv	MH507794	2014-06-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507795	wnv	MH507795	2014-07-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507796	wnv	MH507796	2014-07-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507797	wnv	MH507797	2014-07-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507798	wnv	MH507798	2014-07-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507799	wnv	MH507799	2014-07-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507800	wnv	MH507800	2014-07-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507801	wnv	MH507801	2015-05-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507802	wnv	MH507802	2015-06-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507803	wnv	MH507803	2015-06-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507804	wnv	MH507804	2015-06-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507805	wnv	MH507805	2015-07-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507806	wnv	MH507806	2015-07-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507807	wnv	MH507807	2015-07-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507808	wnv	MH507808	2015-07-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507809	wnv	MH507809	2015-07-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507810	wnv	MH507810	2015-07-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507811	wnv	MH507811	2016-07-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507812	wnv	MH507812	2016-07-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507813	wnv	MH507813	2016-06-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507814	wnv	MH507814	2016-07-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507815	wnv	MH507815	2016-07-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507816	wnv	MH507816	2016-07-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507817	wnv	MH507817	2016-07-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507818	wnv	MH507818	2017-07-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507819	wnv	MH507819	2017-07-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507820	wnv	MH507820	2017-07-04	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507821	wnv	MH507821	2017-06-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507822	wnv	MH507822	2017-06-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507823	wnv	MH507823	2017-06-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507824	wnv	MH507824	2017-06-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507825	wnv	MH507825	2017-08-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507826	wnv	MH507826	2017-08-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507827	wnv	MH507827	2006-07-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507828	wnv	MH507828	2006-07-21	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507829	wnv	MH507829	2006-07-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507830	wnv	MH507830	2006-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507831	wnv	MH507831	2006-08-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507832	wnv	MH507832	2006-08-03	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507833	wnv	MH507833	2006-08-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507834	wnv	MH507834	2006-08-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507835	wnv	MH507835	2006-08-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507836	wnv	MH507836	2006-08-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507837	wnv	MH507837	2006-08-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507838	wnv	MH507838	2007-06-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507839	wnv	MH507839	2007-06-13	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507840	wnv	MH507840	2007-06-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507841	wnv	MH507841	2007-06-20	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507842	wnv	MH507842	2007-06-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507843	wnv	MH507843	2007-06-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507844	wnv	MH507844	2007-06-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507845	wnv	MH507845	2007-06-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507846	wnv	MH507846	2007-06-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
MH507847	wnv	MH507847	2007-07-05	North America	USA	NA	CA			genome						36.1162	-119.6816	
